course,req
A&O SCI 1L ,A&O SCI 1 
A&O SCI 2L ,A&O SCI 2 
A&O SCI 3L ,A&O SCI 3 
A&O SCI 51 ,MATH 3B 
A&O SCI 51 ,MATH 32A 
A&O SCI 51 ,PHYSICS 1B 
A&O SCI 51 ,PHYSICS 5B 
A&O SCI 51 ,PHYSICS 5C 
A&O SCI 51 ,PHYSICS 6B 
A&O SCI 90 ,A&O SCI 71  M 
A&O SCI 90 ,COMPTNG 10A 
A&O SCI 90 ,MATH 3A 
A&O SCI 90 ,MATH 3B 
A&O SCI 90 ,MATH 31A 
A&O SCI 90 ,MATH 31B 
A&O SCI 90 ,LIFESCI 30A 
A&O SCI 90 ,LIFESCI 30B 
A&O SCI 101 ,MATH 3B 
A&O SCI 101 ,MATH 31B 
A&O SCI 101 ,LIFESCI 30B 
A&O SCI 101 ,PHYSICS 1B 
A&O SCI 101 ,PHYSICS 5B 
A&O SCI 101 ,PHYSICS 5C 
A&O SCI 101 ,PHYSICS 6B 
A&O SCI 102 ,MATH 3C 
A&O SCI 102 ,MATH 32A 
A&O SCI 102 ,PHYSICS 1B 
A&O SCI 102 ,PHYSICS 6C 
A&O SCI 103 ,MATH 3B 
A&O SCI 103 ,MATH 31B 
A&O SCI 104 ,CHEM 14B 
A&O SCI 104 ,CHEM 20B 
A&O SCI 110  C ,A&O SCI 101 
A&O SCI 112 ,LIFESCI 30B 
A&O SCI 112 ,LIFESCI 40 
A&O SCI 112 ,MATH 3B 
A&O SCI 112 ,MATH 31B 
A&O SCI 112 ,STATS 10 
A&O SCI 112 ,STATS 12 
A&O SCI 112 ,STATS 13 
A&O SCI 115  C ,A&O SCI 101 
A&O SCI 120  CM ,PHYSICS 131 
A&O SCI 120  M ,PHYSICS 131 
A&O SCI 121 ,A&O SCI 1 
A&O SCI 121 ,A&O SCI 2 
A&O SCI 121 ,A&O SCI 3 
A&O SCI 121 ,A&O SCI 51 
A&O SCI 121 ,A&O SCI 100  M 
A&O SCI 121 ,A&O SCI 102 
A&O SCI 121 ,A&O SCI 112 
A&O SCI 130 ,A&O SCI 103 
A&O SCI 130 ,A&O SCI 105  M 
A&O SCI 135 ,A&O SCI 103 
A&O SCI 135 ,A&O SCI 105  M 
A&O SCI 140  M ,CHEM 20B 
A&O SCI 141 ,CHEM 14B 
A&O SCI 141 ,CHEM 20B 
A&O SCI 141 ,PHYSICS 1B 
A&O SCI 141 ,PHYSICS 6B 
A&O SCI 141 ,MATH 3A 
A&O SCI 141 ,MATH 31A 
A&O SCI 144  C ,A&O SCI 101 
A&O SCI 145 ,PHYSICS 1A 
A&O SCI 145 ,PHYSICS 1B 
A&O SCI 145 ,PHYSICS 1C 
A&O SCI 145 ,PHYSICS 6A 
A&O SCI 145 ,PHYSICS 6B 
A&O SCI 145 ,PHYSICS 6C 
A&O SCI 145  C ,PHYSICS 1A 
A&O SCI 145  C ,PHYSICS 1B 
A&O SCI 145  C ,PHYSICS 1C 
A&O SCI 145  C ,PHYSICS 6A 
A&O SCI 145  C ,PHYSICS 6B 
A&O SCI 150 ,MATH 3B 
A&O SCI 150 ,MATH 31B 
A&O SCI 150 ,PHYSICS 1B 
A&O SCI 150 ,PHYSICS 1C 
A&O SCI 150 ,PHYSICS 6B 
A&O SCI 150 ,PHYSICS 6C 
A&O SCI 160  C ,PHYSICS 1C 
A&O SCI 160  C ,PHYSICS 6B 
A&O SCI 165  C ,PHYSICS 1C 
A&O SCI 165  C ,PHYSICS 6B 
A&O SCI 170  C ,MATH 33A 
A&O SCI 170  C ,PHYSICS 1C 
A&O SCI 180 ,MATH 33B 
A&O SCI 181 ,A&O SCI 110  C 
A&O SCI 182  C ,A&O SCI 101 
A&O SCI 182  C ,A&O SCI 102 
A&O SCI 182  C ,A&O SCI 103 
A&O SCI 182  C ,A&O SCI 104 
A&O SCI 182  C ,A&O SCI 105  M 
A&O SCI 186 ,A&O SCI 110  C 
A&O SCI 190 ,ATMOSCI 110  C 
A&O SCI 200A ,PHYSICS 131 
A&O SCI 201B ,A&O SCI 201A 
A&O SCI 201C ,A&O SCI 200A 
A&O SCI 210 ,A&O SCI 201A 
A&O SCI 210  M ,PHYSICS 1C 
A&O SCI 212A ,A&O SCI 201A 
A&O SCI 213 ,A&O SCI 200B 
A&O SCI 215 ,A&O SCI 200A 
A&O SCI 215 ,A&O SCI 202 
A&O SCI 220 ,A&O SCI 201A 
A&O SCI 221 ,A&O SCI 200A 
A&O SCI 221 ,A&O SCI 201A 
A&O SCI 225 ,A&O SCI 203A M 
A&O SCI 225 ,A&O SCI 203B 
A&O SCI 227  C ,A&O SCI 101 
A&O SCI 234A ,A&O SCI 203B 
A&O SCI 240B C ,PHYSICS 1C 
A&O SCI 240B C ,PHYSICS 6B 
A&O SCI 244A ,A&O SCI 203B 
A&O SCI 244B ,A&O SCI 203B 
A&O SCI 245 ,A&O SCI 203B 
A&O SCI 250A M ,A&O SCI 205A C 
A&O SCI 260  C ,A&O SCI 101 
A&O SCI 260  C ,A&O SCI 102 
A&O SCI 260  C ,A&O SCI 103 
A&O SCI 260  C ,A&O SCI 104 
A&O SCI 260  C ,A&O SCI 105  M 
AERO ST 130A ,AERO ST 1A 
AERO ST 130A ,AERO ST 1B 
AERO ST 130A ,AERO ST 1C 
AERO ST 130A ,AERO ST 20A 
AERO ST 130A ,AERO ST 20B 
AERO ST 130A ,AERO ST 20C 
AERO ST 130B ,AERO ST 1A 
AERO ST 130B ,AERO ST 1B 
AERO ST 130B ,AERO ST 1C 
AERO ST 130B ,AERO ST 20A 
AERO ST 130B ,AERO ST 20B 
AERO ST 130B ,AERO ST 20C 
AERO ST 130C ,AERO ST 1A 
AERO ST 130C ,AERO ST 1B 
AERO ST 130C ,AERO ST 1C 
AERO ST 130C ,AERO ST 20A 
AERO ST 130C ,AERO ST 20B 
AERO ST 130C ,AERO ST 20C 
AERO ST 140A ,AERO ST 1A 
AERO ST 140A ,AERO ST 1B 
AERO ST 140A ,AERO ST 1C 
AERO ST 140A ,AERO ST 20A 
